ACCDDATE,ACCDYEAR,ACCDNMBR,ACCDTIME,DAYNMBR,Weekend,Fishnet_ID
10/15/2010,2010,101008859,141,FRI,0,5670
6/8/2013,2013,130601744,401,SAT,1,5670
3/24/2012,2012,120305093,12,SAT,1,5670
11/7/2010,2010,101107700,2000,SUN,1,5671
12/15/2013,2013,131205127,145,SUN,1,5674
5/18/2010,2010,100506636,251,TUE,0,5674
5/7/2010,2010,100506604,30,FRI,0,5675
9/21/2013,2013,130906841,1810,SAT,1,5675
8/9/2014,2014,140805566,2239,SAT,1,5675
3/30/2012,2012,120306229,210,FRI,0,5675
8/10/2013,2013,130808863,158,SAT,1,5684
8/19/2012,2012,120803418,1516,SUN,1,5690
1/22/2014,2014,140110753,130,WED,0,5690
6/3/2013,2013,130600412,400,MON,1,5690
3/3/2012,2012,120300410,237,SAT,1,5690
6/1/2014,2014,140600715,121,SUN,1,5691
7/1/2010,2010,100707765,630,THU,0,5696
5/22/2011,2011,110508283,1745,SUN,1,5697
11/22/2012,2012,121107109,2235,THU,0,5697
3/5/2011,2011,110305747,1800,SAT,1,5697
8/21/2011,2011,110807905,122,SUN,1,5701
6/16/2010,2010,100603769,110,WED,0,5704
12/1/2012,2012,121211282,1719,SAT,1,5704
6/8/2010,2010,100602609,1945,TUE,0,5704
10/9/2010,2010,101007865,2340,SAT,1,5704
6/25/2011,2011,110605426,148,SAT,1,5704
12/2/2010,2010,101206628,2056,THU,0,5704
12/20/2014,2014,141211298,110,SAT,1,5704
6/3/2013,2013,130600506,452,MON,1,5704
3/29/2010,2010,100305131,1956,MON,0,5705
7/28/2014,2014,140709967,155,MON,1,5705
4/6/2013,2013,130400767,2010,SAT,1,5705
11/10/2011,2011,111103472,31,THU,0,5705
6/18/2011,2011,110608741,228,SAT,1,5705
2/23/2014,2014,140208371,130,SUN,1,5705
10/2/2011,2011,111005923,36,SUN,1,5706
11/1/2010,2010,101104911,0,MON,1,5707
12/1/2014,2014,141203625,142,MON,1,5707
4/30/2011,2011,110407997,2054,SAT,1,5707
6/18/2011,2011,110609160,235,SAT,1,5709
2/1/2014,2014,140209935,1546,SAT,1,5711
1/22/2010,2010,100109984,2240,FRI,1,5720
5/30/2010,2010,100506143,1915,SUN,1,5720
7/27/2013,2013,130710362,2205,SAT,1,5720
12/24/2011,2011,111206137,1452,SAT,1,5721
7/11/2010,2010,100709693,1530,SUN,1,5721
9/6/2010,2010,100909795,0,MON,1,5726
8/12/2012,2012,120807654,245,SUN,1,5729
10/30/2012,2012,121008246,2114,TUE,0,5733
9/3/2010,2010,100905610,2249,FRI,1,5734
1/23/2011,2011,110110976,2300,SUN,1,5740
2/26/2012,2012,120206131,245,SUN,1,5740
5/13/2011,2011,110507386,2332,FRI,1,5740
7/3/2011,2011,110707846,211,SUN,1,5740
8/16/2011,2011,110808708,2040,TUE,0,5740
5/10/2014,2014,140502110,25,SAT,1,5740
3/29/2014,2014,140308903,15,SAT,1,5740
6/6/2010,2010,100602867,2245,SUN,1,5742
5/5/2013,2013,130510339,355,SUN,1,5746
5/14/2012,2012,120502942,2345,MON,0,5751
6/23/2012,2012,120608380,2150,SAT,1,5757
7/4/2010,2010,100705740,206,SUN,1,5757
7/23/2010,2010,100708689,2124,FRI,1,5758
8/17/2013,2013,130806156,524,SAT,1,5765
6/30/2013,2013,130609210,2125,SUN,1,5766
3/8/2014,2014,140303329,1950,SAT,1,5768
4/6/2012,2012,120408512,300,FRI,0,5777
9/28/2014,2014,140910569,340,SUN,1,5779
5/29/2011,2011,110505925,745,SUN,1,5791
7/1/2012,2012,120700069,17,SUN,1,5791
3/7/2011,2011,110306774,0,MON,1,5793
11/12/2011,2011,111111016,306,SAT,1,5794
10/23/2010,2010,101008857,335,SAT,1,5799
1/19/2013,2013,130104380,213,SAT,1,5799
6/20/2013,2013,130605058,1215,THU,0,5799
11/26/2011,2011,111108023,30,SAT,1,5803
8/24/2010,2010,100805597,1610,TUE,0,5804
1/28/2012,2012,120110112,0,SAT,1,5806
2/19/2012,2012,120208734,300,SUN,1,5812
8/10/2013,2013,130802619,29,SAT,1,5812
11/24/2011,2011,111111934,1800,THU,0,5813
5/15/2012,2012,120505200,1434,TUE,0,5813
8/18/2010,2010,100806997,1706,WED,0,5815
5/7/2011,2011,110507145,209,SAT,1,5818
1/14/2012,2012,120103476,1618,SAT,1,5820
3/29/2014,2014,140307846,325,SAT,1,5844
7/7/2012,2012,120701277,331,SAT,1,5844
8/1/2013,2013,130800018,111,THU,0,5844
2/1/2011,2011,110208496,225,TUE,0,5845
7/10/2014,2014,140704187,1537,THU,0,5848
12/16/2011,2011,111204303,2353,FRI,1,5848
5/27/2013,2013,130506146,537,MON,1,5848
4/18/2010,2010,100405685,0,SUN,1,5848
2/25/2012,2012,120206132,2055,SAT,1,5856
6/27/2013,2013,130606919,130,THU,0,5860
8/10/2014,2014,140801929,1453,SUN,1,5865
8/27/2010,2010,100804799,2324,FRI,1,5865
3/16/2013,2013,130305307,1847,SAT,1,5866
7/26/2010,2010,100705433,2330,MON,0,5867
5/21/2012,2012,120505026,241,MON,1,5867
8/20/2011,2011,110806135,0,SAT,1,5882
1/14/2011,2011,110107163,1812,FRI,1,5894
11/21/2011,2011,111111731,2241,MON,0,5894
6/11/2010,2010,100610218,2123,FRI,1,5895
8/22/2010,2010,100809807,202,SUN,1,5896
8/28/2010,2010,100809821,2330,SAT,1,5897
10/16/2010,2010,101007493,242,SAT,1,5902
12/5/2010,2010,101207582,2230,SUN,1,5904
7/2/2011,2011,110707479,2340,SAT,1,5906
11/26/2011,2011,111112027,403,SAT,1,5909
12/22/2012,2012,121211177,1605,SAT,1,5913
6/3/2010,2010,100600790,2335,THU,0,5919
5/14/2010,2010,100507933,135,FRI,0,5927
10/27/2012,2012,121010520,320,SAT,1,5927
7/24/2014,2014,140707491,2126,THU,0,5927
10/2/2010,2010,101007444,2355,SAT,1,5928
10/5/2013,2013,131006334,1941,SAT,1,5928
5/11/2010,2010,100507939,2035,TUE,0,5928
4/29/2012,2012,120407257,200,SUN,1,5928
7/7/2013,2013,130702381,30,SUN,1,5929
8/1/2010,2010,100804858,245,SUN,1,5930
10/19/2014,2014,141011938,41,SUN,1,5931
5/27/2010,2010,100510036,200,THU,0,5931
6/27/2014,2014,140609639,0,FRI,0,5931
5/20/2013,2013,130510137,159,MON,1,5938
12/18/2011,2011,111206141,1840,SUN,1,5938
2/17/2012,2012,120204462,2315,FRI,1,5950
7/3/2014,2014,140701987,2141,THU,0,5950
8/18/2013,2013,130803058,311,SUN,1,5950
7/4/2013,2013,130701508,1852,THU,0,5951
5/7/2012,2012,120501278,2347,MON,0,5951
5/22/2010,2010,100508053,230,SAT,1,5954
9/25/2010,2010,100905211,1715,SAT,1,5966
10/10/2014,2014,141006087,1941,FRI,1,5975
5/26/2012,2012,120506387,1528,SAT,1,5978
8/3/2014,2014,140800731,500,SUN,1,5978
